N,P_frac,theta_pct_eixoP
3407.75,0.3807,16.583
3448.75,0.3807,16.583
3490.25,0.3794,16.583
3532.25,0.3781,16.583
3574.76,0.3781,16.583
3617.78,0.3769,16.583
3661.31,0.3756,16.457
3705.37,0.3769,16.457
3749.95,0.3744,16.332
3795.08,0.3731,16.332
3840.75,0.3731,16.332
3886.96,0.3731,16.332
3933.74,0.3719,16.332
3981.07,0.3719,16.332
4028.98,0.3706,16.332
4077.46,0.3706,16.332
4126.52,0.3706,16.332
4176.18,0.3706,16.332
4226.43,0.3693,16.332
4277.29,0.3681,16.332
4328.76,0.3681,16.332
4380.85,0.3681,16.332
4433.57,0.3681,16.332
4486.92,0.3656,16.332
4540.91,0.3668,16.332
4595.55,0.3681,16.332
4650.85,0.3668,16.332
4706.82,0.3668,16.332
4763.46,0.3681,16.332
4820.78,0.3681,16.332
4878.79,0.3668,16.332
4937.49,0.3668,16.332
4996.91,0.3656,16.332
5057.04,0.3656,16.332
5117.89,0.3643,16.332
5179.47,0.3643,16.332
5241.8,0.3631,16.332
5304.88,0.3631,16.332
5368.71,0.3618,16.332
5433.32,0.3593,16.332
5498.7,0.3606,16.332
5564.86,0.3593,16.332
5631.83,0.3580,16.332
5699.6,0.3580,16.332
5768.18,0.3568,16.332
5837.59,0.3555,16.332
5907.84,0.3555,16.332
5978.93,0.3543,16.332
6050.88,0.3530,16.332
6123.69,0.3530,16.332
6197.38,0.3530,16.332
6271.95,0.3505,16.332
6347.42,0.3505,16.332
6423.8,0.3505,16.332
6501.1,0.3492,16.332
6579.33,0.3492,16.332
6658.5,0.3492,16.457
6738.63,0.3480,16.457
6819.72,0.3480,16.583
6901.78,0.3467,16.583
6984.83,0.3467,16.583
7068.88,0.3455,16.583
7153.94,0.3455,16.583
7240.03,0.3430,16.583
7327.15,0.3430,16.583
7415.32,0.3417,16.583
7504.55,0.3417,16.583
7594.85,0.3405,16.583
7686.25,0.3417,16.583
7778.74,0.3405,16.709
7872.34,0.3405,16.834
7967.07,0.3392,16.834
8062.94,0.3379,16.960
8159.97,0.3367,16.960
8258.16,0.3367,16.960
8357.53,0.3367,16.960
8458.1,0.3354,16.960
8559.88,0.3329,16.960
8662.88,0.3317,16.960
8767.12,0.3304,16.960
8872.62,0.3304,16.960
8979.39,0.3304,17.085
9087.44,0.3304,17.211
9196.79,0.3304,17.085
9307.46,0.3291,17.211
9419.46,0.3291,17.211
9532.81,0.3279,17.211
9647.52,0.3266,17.211
9763.61,0.3254,17.211
9881.1,0.3241,17.337
10000,0.3241,17.462
10120.3,0.3229,17.462
10242.1,0.3216,17.588
10365.4,0.3204,17.714
10490.1,0.3191,17.714
10616.3,0.3178,17.714
10744.1,0.3166,17.714
10873.4,0.3153,17.839
11004.2,0.3153,17.839
11136.6,0.3128,17.965
11270.6,0.3116,17.965
11406.2,0.3116,17.965
11543.5,0.3103,18.090
11682.4,0.3078,18.342
11823,0.3065,18.216
11965.3,0.3053,18.342
12109.2,0.3028,18.593
12255,0.3015,18.593
12402.4,0.3015,18.844
12551.7,0.2965,18.970
12702.7,0.2952,19.221
12855.6,0.2927,19.347
13010.3,0.2915,19.598
13166.8,0.2889,19.724
13325.2,0.2864,20.101
13485.6,0.2839,20.352
13647.9,0.2789,20.854
13812.1,0.2726,21.482
13978.3,0.2701,21.734
14146.5,0.2651,21.985
14316.7,0.2475,24.749
14489,0.2462,24.623
14663.4,0.2425,24.246
14839.8,0.1809,29.146
15018.4,0.1784,29.397
15199.1,,34.673
15567.1,0.0829,52.513
15944,0.0553,66.080
16135.9,0.0427,
16725.4,0.0276,71.357
16926.7,0.0666,68.593
17130.3,0.0528,71.106
17336.5,0.0465,71.106
17545.1,0.0452,71.106
17756.2,0.0364,71.106
17969.9,0.0314,71.231
18186.1,0.0276,71.231
18405,0.0264,71.231
18626.4,0.0251,71.231
18850.6,0.0276,71.231
19077.4,0.0251,71.231
19307,0.0251,71.357
19539.3,0.0251,71.357
19774.4,0.0251,71.357
20012.4,0.0264,71.357
20253.2,,71.357
20496.9,,71.357
21501.4,-0.0025,75.000
