[parallel] 202 casos em 6 workers
[KARLSEN_2022] n=11 mediana=0.0374
[LIU_2016] n=14 mediana=0.0408
[LIU_2017_AXIAL] n=9 mediana=0.0180
[LIU_2020_WEAR] n=9 mediana=0.0090
[LIU_2022_RETIGHT] n=21 mediana=0.0149
[LIU_2025] n=7 mediana=0.0387
[LI_2022_MARSTRUC] n=6 mediana=0.0034
[LI_2022_TRIBOINT] n=4 mediana=0.0307
[LU_2024] n=10 mediana=0.1045
[QIN_2024] n=3 mediana=0.0047
[ROUSSEAU_2025] n=6 mediana=0.0520
[SUN_2025_CRIMP] n=8 mediana=0.0237
[SUN_2025_REASSY] n=5 mediana=0.0181
[UFU_LAB] n=3 mediana=0.0523
[YANG_2019] n=5 mediana=0.0636
[YANG_2021] n=6 mediana=0.0565
[YANG_2023_AME] n=1 mediana=0.3875
[YANG_2023_IJPEM] n=9 mediana=0.1188
[ZHANG_2006] n=2 mediana=0.1117
[ZHANG_2018] n=9 mediana=0.0192
[ZHANG_2019] n=4 mediana=0.0192
[store] 202 resultados gravados (single-writer no pai)
[parallel] total 1390s
